title,date,url,image_url
"Milk Depot gas station, horizontal view, 900 South & 140 East, Salt Lake City, Utah",1981,https://www.loc.gov/pictures/item/2017702163/,https://cdn.loc.gov/service/pnp/mrg/00000/00047v.jpg
"Milk Depot gas station, vertical view, 900 South & 140 East, Salt Lake City, Utah",1981,https://www.loc.gov/pictures/item/2017702164/,https://cdn.loc.gov/service/pnp/mrg/00000/00048v.jpg
"Old gas station, 2nd & Vance, Memphis, Tennessee",1979,https://www.loc.gov/pictures/item/2017702165/,https://cdn.loc.gov/service/pnp/mrg/00000/00049v.jpg
"Old gas station, McEwen, Tennessee",1979,https://www.loc.gov/pictures/item/2017702166/,https://cdn.loc.gov/service/pnp/mrg/00000/00050v.jpg
"Gas station, Chester's Auto Repair, Route 70, Forrest City, Arkansas",1979,https://www.loc.gov/pictures/item/2017702167/,https://cdn.loc.gov/service/pnp/mrg/00000/00051v.jpg
"Golden Eagle gas pumps, 8th & Market Streets, San Diego, California",1977,https://www.loc.gov/pictures/item/2017702168/,https://cdn.loc.gov/service/pnp/mrg/00000/00052v.jpg
"Far-Go gas pumps, Main Street, Barstow, California",1979,https://www.loc.gov/pictures/item/2017702169/,https://cdn.loc.gov/service/pnp/mrg/00000/00053v.jpg
"Texaco gas pumps, Milford, Illinois",1977,https://www.loc.gov/pictures/item/2017702170/,https://cdn.loc.gov/service/pnp/mrg/00000/00054v.jpg
"Flying red horse Mobil sign, Route 60B, Mountain Grove, Missouri",1979,https://www.loc.gov/pictures/item/2017702171/,https://cdn.loc.gov/service/pnp/mrg/00000/00055v.jpg
"Colonial Gas sign-billboard, Route 40, St. Marys, Georgia",1979,https://www.loc.gov/pictures/item/2017702172/,https://cdn.loc.gov/service/pnp/mrg/00000/00056v.jpg
"Shell Gas sign and general store, Olivebridge, New York",1976,https://www.loc.gov/pictures/item/2017702173/,https://cdn.loc.gov/service/pnp/mrg/00000/00057v.jpg
"Stinker Cut-Rate Gas sign, Boise, Idaho",1980,https://www.loc.gov/pictures/item/2017702174/,https://cdn.loc.gov/service/pnp/mrg/00000/00058v.jpg
"Erie Foreign Car Parts multi-statue sign, angle 1, Mohawk Street, Whitesboro, New York",1987,https://www.loc.gov/pictures/item/2017702175/,https://cdn.loc.gov/service/pnp/mrg/00000/00059v.jpg
"Stan The Tire Man statue, angle shot, Broadway, Mount Vernon, Illinois",1988,https://www.loc.gov/pictures/item/2017702176/,https://cdn.loc.gov/service/pnp/mrg/00000/00060v.jpg
"Spray foam trucks prospector statue and sign, overall view, Frontage Road, I-5, Albany, Oregon",1987,https://www.loc.gov/pictures/item/2017702177/,https://cdn.loc.gov/service/pnp/mrg/00000/00061v.jpg
"Spray foam trucks prospector statue and sign, entire statue detail, Frontage Road, I-5, Albany, Oregon",1987,https://www.loc.gov/pictures/item/2017702178/,https://cdn.loc.gov/service/pnp/mrg/00000/00062v.jpg
"Earl Schieb Auto Painting sign, upper detail, Olympic Boulevard, Beverly Hills, California",1991,https://www.loc.gov/pictures/item/2017702179/,https://cdn.loc.gov/service/pnp/mrg/00000/00063v.jpg
"Blue Bird Truck Stop sign, Pryor Street, Atlanta, Georgia",1984,https://www.loc.gov/pictures/item/2017702180/,https://cdn.loc.gov/service/pnp/mrg/00000/00064v.jpg
"More Skinny Used Car sign, Santa Fe Avenue, Pueblo, Colorado",1991,https://www.loc.gov/pictures/item/2017702181/,https://cdn.loc.gov/service/pnp/mrg/00000/00065v.jpg
"Dependable Used Cars sign, Division Street, Grand Rapids, Michigan",1982,https://www.loc.gov/pictures/item/2017702182/,https://cdn.loc.gov/service/pnp/mrg/00000/00066v.jpg
"St. Joseph Auto and Furniture Fabric slip cover sign, Saint Joseph, Missouri",1988,https://www.loc.gov/pictures/item/2017702183/,https://cdn.loc.gov/service/pnp/mrg/00000/00067v.jpg
"Compton Car Wash, Rosecrans Avenue, Compton, California",1981,https://www.loc.gov/pictures/item/2017702184/,https://cdn.loc.gov/service/pnp/mrg/00000/00068v.jpg
"Delta Queen Car Wash, side view, Hamilton Avenue near Bascom, Campbell, California",1977,https://www.loc.gov/pictures/item/2017702185/,https://cdn.loc.gov/service/pnp/mrg/00000/00069v.jpg
"Delta Queen Car Wash, front view, Hamilton Avenue near Bascom, Campbell, California",1991,https://www.loc.gov/pictures/item/2017702186/,https://cdn.loc.gov/service/pnp/mrg/00000/00070v.jpg
"Hillborn Top Shop formerly Gates Tires, tower view, Washington Place 7 Grandview, Mar Vista, California",1977,https://www.loc.gov/pictures/item/2017702187/,https://cdn.loc.gov/service/pnp/mrg/00000/00071v.jpg
"Ford Dealership, horizontal view overall, 1300 Main Street, Klamath Falls, Oregon",2003,https://www.loc.gov/pictures/item/2017702188/,https://cdn.loc.gov/service/pnp/mrg/00000/00072v.jpg
"Ford Dealership, vertical view 1, 1300 Main Street, Klamath Falls, Oregon",2003,https://www.loc.gov/pictures/item/2017702189/,https://cdn.loc.gov/service/pnp/mrg/00000/00073v.jpg
"The Whale Car Wash, N. 50th & Meridian, Oklahoma City, Oklahoma",1979,https://www.loc.gov/pictures/item/2017702190/,https://cdn.loc.gov/service/pnp/mrg/00000/00074v.jpg
"Poverty Motors, Jefferson Avenue, Peoria, Illinois",1980,https://www.loc.gov/pictures/item/2017702191/,https://cdn.loc.gov/service/pnp/mrg/00000/00075v.jpg
"Jones Motor Company, straight-on view, Broadway, Green Bay, Wisconsin",1992,https://www.loc.gov/pictures/item/2017702192/,https://cdn.loc.gov/service/pnp/mrg/00000/00076v.jpg
